round,llm,llm_choice,opponent_choice,reasoning,travel_time,cumulative_time,matrix_str
1,openai/gpt-5.1,R1,R2,With no prior history and no information about the opponent I choose a baseline cooperative option. I select Route 1.,2,2,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
1,meta-llama/llama-3.3-70b-instruct,R1,R1,Since there's no previous data to influence the decision I'll choose Route 1 arbitrarily for the first round.,6,6,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
2,openai/gpt-5.1,R2,R1,Opponent chose the less congested route last round while I chose the more congested one leading to higher total time for me. To adapt and potentially coordinate I should switch to Route 2 this round.,4,6,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
2,meta-llama/llama-3.3-70b-instruct,R2,R1,Since both drivers chose Route 1 last round it's likely that Route 1 is congested. I'll choose Route 2 to potentially save time.,4,10,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
3,openai/gpt-5.1,R1,R2,Opponent appears to favor R1 while my last switch to R2 led to a worse total time (6 vs 2). To avoid mutual congestion on R1 while still adapting I’ll return to R1 now assuming opponent may stay on R1 and future adjustments can be made if congestion persists.,2,8,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
3,meta-llama/llama-3.3-70b-instruct,R1,R1,Since the opponent played Route 1 last round and I played Route 2 and considering the total travel time is 10 I will choose Route 1 this round to potentially reduce travel time if the opponent switches to Route 2.,6,16,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
4,openai/gpt-5.1,R2,R1,Opponent alternates between R2 and R1 while my last two choices (R2 then R1) led to increasing total time (6 then 8). To avoid being exploited by a predictable pattern I should switch to R2 now.,4,12,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
4,meta-llama/llama-3.3-70b-instruct,R2,R2,Since both drivers chose Route 1 last round and the total travel time increased it's likely that Route 1 is becoming congested. I will choose Route 2 to potentially avoid traffic and reduce travel time.,4,20,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
5,openai/gpt-5.1,R1,R1,Opponent alternates routes each round (R2 R1 R2 R1). To minimize my own travel time I should choose the opposite of what they are likely to pick next. Pattern suggests they will choose R2 this round so I choose Route 1.,6,18,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
5,meta-llama/llama-3.3-70b-instruct,R1,R2,Since both drivers chose Route 2 last round and the total travel time increased it's likely that Route 2 is becoming congested. I will choose Route 1 to potentially avoid traffic and reduce travel time.,2,22,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
6,openai/gpt-5.1,R2,R1,So far alternating (R1R2) and (R2R1) produced lower total times (26812) than mutual R1 (18). Mutual R1 seems worse; mutual R2 is untested but likely symmetric or worse. Best response to opponent’s last R1 given history is to choose R2 to restore alternation and avoid both on R1 again.,4,22,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
6,meta-llama/llama-3.3-70b-instruct,R2,R1,Since the opponent played Route 2 last round and I played Route 1 and considering the total travel time I will choose Route 2 this time to potentially reduce congestion on Route 1 and minimize travel time.,4,26,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
7,openai/gpt-5.1,R1,R1,We both get lower total time when we coordinate on the same route; recent history shows the opponent tends to pick R1 more often and last round they were on R1 while I was on R2 which was worse. Best response is to match them on R1.,6,28,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
7,meta-llama/llama-3.3-70b-instruct,R1,R1,Since both routes have been chosen an equal number of times and the total travel time is increasing I will choose Route 1 to potentially reduce travel time if the opponent chooses Route 2.,6,32,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
8,openai/gpt-5.1,R1,R2,The pattern suggests that matching on Route 1 yields lower total time than mismatching and the recent rounds show a shift toward both choosing R1. To maintain coordination and minimize expected travel time choose Route 1 again.,2,30,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
8,meta-llama/llama-3.3-70b-instruct,R2,R2,Since both drivers played Route 1 last round and the total travel time increased it's likely that Route 1 is becoming congested. I will choose Route 2 to potentially avoid traffic and reduce travel time.,4,36,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
9,openai/gpt-5.1,R2,R2,The opponent appears to be alternating between R1 and R2 in a somewhat irregular pattern but in the last two rounds they played R1 then R2. To minimize expected congestion given no clear stable pattern and given that mutual R1 has produced higher total times (e.g. 18 28) than mismatched routes (2 6 8 12 22 30) I will choose the opposite of my last move to avoid repeatedly matching if they repeat R2. So I switch to Route 2.,4,34,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
9,meta-llama/llama-3.3-70b-instruct,R1,R1,Since both drivers chose the same route last round I will switch to Route 1 to potentially reduce travel time.,6,42,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
10,openai/gpt-5.1,R2,R2,We’ve tried both routes in all combinations. The only time total travel time did not increase was when both chose Route 2 (R2R2): it went from 30 to 34 (+4) which is smaller than other jumps and likely best-coordinated. To stabilize on the seemingly better equilibrium I choose Route 2.,4,38,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
10,meta-llama/llama-3.3-70b-instruct,R2,R2,Since both drivers played Route 1 last round it's likely that Route 1 is congested. I will choose Route 2 to potentially avoid traffic and reduce travel time.,4,46,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
1,openai/gpt-5.1,R1,R2,No prior rounds or pattern; choose randomly. Selecting Route 1 this round.,2,2,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
1,meta-llama/llama-3.3-70b-instruct,R1,R1,Since there's no prior information to base the decision on I'll choose Route 1 arbitrarily to start.,6,6,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
2,openai/gpt-5.1,R2,R2,Opponent chose R2 last round while I chose R1 giving me a worse outcome. I will switch to match the opponent’s apparent preference and choose Route 2.,4,6,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
2,meta-llama/llama-3.3-70b-instruct,R2,R1,Since both drivers chose Route 1 last round it's likely that Route 1 is congested. I'll choose Route 2 to potentially save time.,4,10,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
3,openai/gpt-5.1,R1,R2,Opponent has chosen Route 2 twice in a row and the last outcome (both on R2) was bad (total time 6). To avoid repeating mutual congestion on Route 2 switch to Route 1.,2,8,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
3,meta-llama/llama-3.3-70b-instruct,R1,R2,Since the opponent played Route 1 last round and I played Route 2 and considering the total travel time is 10 I will choose Route 1 this time to potentially reduce travel time if the opponent switches to Route 2.,2,12,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
4,openai/gpt-5.1,R2,R2,Opponent seems to favor Route 2; total time is increasing when I pick R1 against their R2. Best response is to choose Route 1 less often and try Route 2 to see if they adapt. I’ll switch to Route 2 now.,4,12,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
4,meta-llama/llama-3.3-70b-instruct,R2,R2,Since both routes have been chosen in the past and the total travel time is still relatively low I will choose Route 2 to potentially avoid traffic and minimize travel time.,4,16,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
5,openai/gpt-5.1,R1,R1,Opponent has consistently chosen Route 2; mutual R2 leads to high total time (6 then 12). When I chose R1 against their R2 total time was lower (2 then 8 vs 612). Best response to a persistent R2 opponent is Route 1.,6,18,R1R1:6:6; R1R2:2:4; R2R1:4:2; R2R2:4:4
