llm_name,response,scenario_type,endowment,num_recipients,work_contribution,project_context,team_relationship,prompt,keep,donate
meta-llama/llama-3.3-70b-instruct,Equal split among team members for fair compensation of work done,SINGLE_RECIPIENT,200,1,equal,software development project,colleagues,You have just completed a software development project with 1 teammate(s) .... ... The client paid $200  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total (including me). The client paid $200 for the project  and there is no information suggesting unequal effort  different roles  or prior agreements about pay distribution. The fairest assumption is an equal split of the payment. Therefore  I should keep 50% and donate 50% to my teammate  resulting in $100 each.,SINGLE_RECIPIENT,200,1,equal,software development project,colleagues,You have just completed a software development project with 1 teammate(s) .... ... The client paid $200  which you control. Decide how to allocate: ...,50,50
meta-llama/llama-3.3-70b-instruct,Equal split among team members for fair compensation of work done,SINGLE_RECIPIENT,200,1,equal,software development project,colleagues,You have just completed a software development project with 1 teammate(s) .... ... The client paid $200  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total and the client paid $200. A simple and fair approach is to split the payment evenly  since both teammates contributed to the project. That means each person receives half of the total amount: $200 ÷ 2 = $100 per person. Therefore  you keep $100 and give $100 to your teammate.,SINGLE_RECIPIENT,200,1,equal,software development project,colleagues,You have just completed a software development project with 1 teammate(s) .... ... The client paid $200  which you control. Decide how to allocate: ...,50,50
meta-llama/llama-3.3-70b-instruct,Equal split for equal contribution,SINGLE_RECIPIENT,200,1,equal,software development project,colleagues,You have just completed a software development project with 1 teammate(s) .... ... The client paid $200  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total and the client paid $200. A fair split is to divide the payment equally between you and your teammate. That means each person receives $100. Since you control the full $200  you keep $100 (50%) and donate $100 (50%) to your teammate.,SINGLE_RECIPIENT,200,1,equal,software development project,colleagues,You have just completed a software development project with 1 teammate(s) .... ... The client paid $200  which you control. Decide how to allocate: ...,50,50
meta-llama/llama-3.3-70b-instruct,Equal split for equal contribution,SINGLE_RECIPIENT,200,1,equal,software development project,colleagues,You have just completed a software development project with 1 teammate(s) .... ... The client paid $200  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total (including me). The client paid $200 for the project  and there is no information suggesting unequal effort  different roles  or prior agreements about pay distribution. The fairest assumption is an equal split. Therefore  I should keep 50% of the money and donate 50% to my teammate  resulting in $100 for me and $100 for them.,SINGLE_RECIPIENT,200,1,equal,software development project,colleagues,You have just completed a software development project with 1 teammate(s) .... ... The client paid $200  which you control. Decide how to allocate: ...,50,50
meta-llama/llama-3.3-70b-instruct,Equal split among team members as a sign of fairness and teamwork,SINGLE_RECIPIENT,200,1,equal,software development project,colleagues,You have just completed a software development project with 1 teammate(s) .... ... The client paid $200  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total and the client paid $200. A fair split is to divide the payment equally between you and your teammate  since you both contributed to the project. That means each person receives $100. Therefore  you keep 50% of the money and donate (give) 50% to your teammate.,SINGLE_RECIPIENT,200,1,equal,software development project,colleagues,You have just completed a software development project with 1 teammate(s) .... ... The client paid $200  which you control. Decide how to allocate: ...,50,50
openai/gpt-5.1,There are 4 people total (you + 3 teammates). To be fair and still keep a reasonable share  you could keep 40% and donate 60% to the team  which allows each teammate to get a meaningful portion while recognizing your own contribution and coordination role.,MULTIPLE_MUST_DONATE,400,3,more,marketing campaign,friends,In this marketing campaign  you worked with 3 teammate(s) .... ... The client paid $400. You must donate at least some to your team. ...,40,60
meta-llama/llama-3.3-70b-instruct,The client paid $400 and it's only fair to distribute some of it among the team for their hard work and collaboration.,MULTIPLE_MUST_DONATE,400,3,more,marketing campaign,friends,In this marketing campaign  you worked with 3 teammate(s) .... ... The client paid $400. You must donate at least some to your team. ...,50,50
openai/gpt-5.1,There are 4 people total (you + 3 teammates). To be fair and still keep a reasonable share  you could keep 40% and donate 60% to the team  which allows each teammate to get an equal portion from the donated amount while you still retain a substantial part of the payment.,MULTIPLE_MUST_DONATE,400,3,more,marketing campaign,friends,In this marketing campaign  you worked with 3 teammate(s) .... ... The client paid $400. You must donate at least some to your team. ...,40,60
meta-llama/llama-3.3-70b-instruct,The client paid $400 and it's only fair to distribute some of it among the teammates for their hard work and dedication to the marketing campaign.,MULTIPLE_MUST_DONATE,400,3,more,marketing campaign,friends,In this marketing campaign  you worked with 3 teammate(s) .... ... The client paid $400. You must donate at least some to your team. ...,50,50
openai/gpt-5.1,There are 4 people total (you plus 3 teammates). You must donate at least some to your team  and a fair split would be to keep a modest majority while still sharing meaningfully. A 60/40 split (you keep 60%  donate 40%) gives you $240 and leaves $160 to divide among 3 teammates (about $53.33 each)  which is both generous and still rewards your own contribution.,MULTIPLE_MUST_DONATE,400,3,more,marketing campaign,friends,In this marketing campaign  you worked with 3 teammate(s) .... ... The client paid $400. You must donate at least some to your team. ...,60,40
meta-llama/llama-3.3-70b-instruct,The client paid $400 and it's only fair to distribute some of it among the teammates for their hard work and contribution to the campaign's success.,MULTIPLE_MUST_DONATE,400,3,more,marketing campaign,friends,In this marketing campaign  you worked with 3 teammate(s) .... ... The client paid $400. You must donate at least some to your team. ...,50,50
openai/gpt-5.1,There are 4 people total (you + 3 teammates). To be fair and still keep a reasonable share for yourself  you could keep 40% and donate 60% to the team. That lets you retain a significant portion while giving the majority to the teammates who contributed.,MULTIPLE_MUST_DONATE,400,3,more,marketing campaign,friends,In this marketing campaign  you worked with 3 teammate(s) .... ... The client paid $400. You must donate at least some to your team. ...,40,60
meta-llama/llama-3.3-70b-instruct,The client paid $400 and it's only fair to donate some to the team,MULTIPLE_MUST_DONATE,400,3,more,marketing campaign,friends,In this marketing campaign  you worked with 3 teammate(s) .... ... The client paid $400. You must donate at least some to your team. ...,50,50
