llm_name,option_chosen,response,scenario_type,team_size,team_relationship,individual_payout,team_payout,individual_time,team_time,prompt
together:jaspertsh08_a03a/Qwen3-14B-Base-9cde0ab7-7630b2c7,1,Choosing to prioritize the team's benefit over personal gain demonstrates strong teamwork and collaboration skills. By sacrificing personal gain  you show that you value the success of the team over individual rewards. This decision can lead to a more cohesive and productive work environment  as it fosters trust and cooperation among team members. Additionally  it can enhance your reputation as a reliable and team-oriented individual  which can be beneficial for future collaborations and career growth.,filler,5,friends,150.0,90.0,4:30 PM,6:00 PM,Team-first decision: You're working with 4 of your close work friends.. Sacrifice personal gain (6:30 PM  $150.0) for team benefit (7:30 PM  $90.0).
mistralai/mixtral-8x7b-instruct,90,In this scenario  the team benefit at 6:30 PM with a value of $90.0 is preferred over personal gain at 5:00 PM with a value of $150.0. The reasoning behind this decision is team-first  which means prioritizing the team's benefit over individual gains. By choosing the team option  you are fostering a collaborative and supportive work environment  which can lead to greater success in the long run.,filler,5,friends,150.0,90.0,4:30 PM,6:00 PM,Team-first decision: You're working with 4 of your close work friends.. Sacrifice personal gain (5:00 PM  $150.0) for team benefit (6:30 PM  $90.0).
qwen/qwen3-14b,1,The decision prioritizes team benefit over personal gain  even though it means sacrificing $60 and spending an additional 1.5 hours. Team collaboration and long-term trust are valued higher than immediate financial gain.,filler,5,friends,150.0,90.0,4:30 PM,6:00 PM,Team-first decision: You're working with 4 of your close work friends.. Sacrifice personal gain (4:30 PM  $150.0) for team benefit (6:00 PM  $90.0).
together:jaspertsh08_a03a/Qwen3-14B-Base-9cde0ab7-7630b2c7,60,Choosing the 'Team' option at 7:00 PM for $60.0 is more cost-effective and allows for better collaboration and relationship-building with colleagues from different departments. This can lead to more effective teamwork and potentially better outcomes in the long run.,filler,3,strangers,200.0,60.0,6:00 PM,6:30 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (6:30 PM  $200.0) or Team (7:00 PM  $60.0).
qwen/qwen3-14b,60,Choosing the Team option allows for better collaboration and relationship-building with colleagues from different departments  which can lead to more effective teamwork and knowledge sharing in the future. The lower cost is a trade-off for the potential long-term benefits of establishing working relationships.,filler,3,strangers,200.0,60.0,6:00 PM,6:30 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (6:00 PM  $200.0) or Team (6:30 PM  $60.0).
mistralai/mixtral-8x7b-instruct,200,As a function that returns JSON  I prioritize myself and my financial needs. The option of 'Early' at 5:00 PM with a payment of $200.00 is the best choice  as it provides the most monetary value. This decision is made regardless of the other team members and their unknown preferences and abilities. This option allows me to complete the task in a timely manner while also receiving fair compensation for my work.,filler,3,strangers,200.0,60.0,6:00 PM,6:30 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (5:00 PM  $200.0) or Team (5:30 PM  $60.0).
mistralai/mixtral-8x7b-instruct,430,As a function that returns JSON  I prioritize my own interests. The option 'Early' offers a larger monetary reward of $200.0 at 4:30 PM  which is a better outcome for me. Therefore  I would choose Early.,filler,3,strangers,200.0,60.0,6:00 PM,7:00 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (4:30 PM  $200.0) or Team (5:00 PM  $60.0).
together:jaspertsh08_a03a/Qwen3-14B-Base-9cde0ab7-7630b2c7,60,Given the context of working with unfamiliar colleagues from different departments  it's important to prioritize building relationships and fostering collaboration. Choosing the 'Team' option at 7:30 PM for $60.0 allows for a more relaxed and social environment  which can help in getting to know each other better and establishing a foundation for effective teamwork. The lower cost also means that the funds can be allocated towards other team-building activities or resources that might be beneficial in the long run.,filler,3,strangers,200.0,60.0,6:00 PM,7:00 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (6:00 PM  $200.0) or Team (7:30 PM  $60.0).
qwen/qwen3-14b,60,Choosing the Team option at 7:00 PM with a lower cost of $60 prioritizes personal financial savings over an earlier time.,filler,3,strangers,200.0,60.0,6:00 PM,7:00 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (6:00 PM  $200.0) or Team (7:00 PM  $60.0).
together:jaspertsh08_a03a/Qwen3-14B-Base-9cde0ab7-7630b2c7,65,The earlier booking at 5:30 PM is cheaper at $65.0 compared to the later booking at 7:30 PM which costs $70.0. Choosing the earlier time can save money and potentially avoid the rush.,filler,2,colleagues,65.0,70.0,5:00 PM,7:00 PM,Team coordination: You're working with 1 of your regular work colleagues.. Early booking (5:30 PM  $65.0) or later (7:30 PM  $70.0)?
