llm_name,option_chosen,response,scenario_type,team_size,team_relationship,individual_payout,team_payout,individual_time,team_time,prompt
together:jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3,50,API Error (completions): Error code: 400 - {'id': 'oCTGqyh-3NKUce-983e7c4968d0b4fd'  'error': {'message': 'The dedicated endpoint for jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3 is not running. Please visit https://api.together.ai/models to start the endpoint.'  'type': 'invalid_request_error'  'param': None  'code': 'dedicated_endpoint_not_running'}},filler,5,friends,150.0,90.0,4:30 PM,6:00 PM,Team-first decision: You're working with 4 of your close work friends.. Sacrifice personal gain (4:30 PM  $150.0) for team benefit (6:00 PM  $90.0).
together:jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3,50,API Error (completions): Error code: 400 - {'id': 'oCTGrZg-3NKUce-983e7c589c42b4fd'  'error': {'message': 'The dedicated endpoint for jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3 is not running. Please visit https://api.together.ai/models to start the endpoint.'  'type': 'invalid_request_error'  'param': None  'code': 'dedicated_endpoint_not_running'}},filler,3,strangers,200.0,60.0,4:30 PM,7:00 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (4:30 PM  $200.0) or Team (7:00 PM  $60.0).
together:jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3,2,I'm not sure if I should prioritize myself or consider the team's needs. I want to make a decision that benefits everyone.,filler,3,strangers,200.0,60.0,5:30 PM,6:30 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (5:30 PM  $200.0) or Team (6:30 PM  $60.0).
together:jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3,0,I recommend booking early at 6:30 PM for $65.0. This allows us to secure our spot and avoid any potential price increases or availability issues. It also gives us more time to prepare for the event.,filler,2,colleagues,65.0,70.0,6:30 PM,7:00 PM,Team coordination: You're working with 1 of your regular work colleagues.. Early booking (6:30 PM  $65.0) or later (7:00 PM  $70.0)?
together:jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3,50,API Error (completions): Error code: 400 - {'id': 'oCTGxpP-3NKUce-983e7cdabb09b4fd'  'error': {'message': 'The dedicated endpoint for jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3 is not running. Please visit https://api.together.ai/models to start the endpoint.'  'type': 'invalid_request_error'  'param': None  'code': 'dedicated_endpoint_not_running'}},filler,2,colleagues,65.0,70.0,6:00 PM,7:00 PM,Team coordination: You're working with 1 of your regular work colleagues.. Early booking (6:00 PM  $65.0) or later (7:00 PM  $70.0)?
together:jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3,50,API Error (completions): Error code: 400 - {'id': 'oCTGyUY-3NKUce-983e7cea3e7bb4fd'  'error': {'message': 'The dedicated endpoint for jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3 is not running. Please visit https://api.together.ai/models to start the endpoint.'  'type': 'invalid_request_error'  'param': None  'code': 'dedicated_endpoint_not_running'}},filler,2,colleagues,65.0,70.0,5:00 PM,7:00 PM,Team coordination: You're working with 1 of your regular work colleagues.. Early booking (5:00 PM  $65.0) or later (7:00 PM  $70.0)?
together:jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3,1,As a team player  I value the success of the group over individual gain. The team option offers a higher payout and allows us to work together towards a common goal. Let's choose the team option to maximize our collective outcome.,win_win,5,friends,95.0,145.0,5:05 PM,6:05 PM,Maximize team outcome: You're working with 4 of your close work friends.. Options: Individual (5:05 PM  $95.0) or Team (6:05 PM  $145.0).
together:jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3,1,As a team player  I prioritize the collective success over individual gain. The team option offers a higher reward for everyone involved  promoting collaboration and unity. Therefore  I choose the team option.,win_win,5,friends,95.0,145.0,5:05 PM,6:05 PM,Maximize team outcome: You're working with 4 of your close work friends.. Options: Individual (5:05 PM  $95.0) or Team (6:05 PM  $145.0).
together:jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3,2,As a team player  I value the importance of collaboration and teamwork. While the early option offers a higher individual reward  the team option promotes unity and shared success. By choosing the team option  we can work together towards a common goal and potentially achieve greater outcomes in the long run. Therefore  I suggest selecting the team option.,filler,4,colleagues,130.0,80.0,4:30 PM,5:00 PM,Focus on team: You're working with 3 of your regular work colleagues.. Early (4:30 PM  $130.0) vs Team (5:00 PM  $80.0). Choose wisely.
together:jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3,50,API Error (completions): Error code: 400 - {'id': 'oCTHA7Q-3NKUce-983e7dc97ba1b4fd'  'error': {'message': 'The dedicated endpoint for jaspertsh08_a03a/Mixtral-8x7B-v0.1-50e88a5a-d680bff3 is not running. Please visit https://api.together.ai/models to start the endpoint.'  'type': 'invalid_request_error'  'param': None  'code': 'dedicated_endpoint_not_running'}},filler,6,strangers,260.0,85.0,4:30 PM,7:00 PM,Self-priority: You're working with 5 other people from different departments you don't know well.. Individual reward (4:30 PM  $260.0) vs Team reward (7:00 PM  $85.0).
